name_id,name,yrdb_id,ch_pinyin,attestation
nm_0166,蘭陽縣,yrdb139,lanyang xian, ds_1045
nm_0167,蘭陽縣,yrdb139,lanyang xian, ds_175
nm_0168,共,yrdb141,gong,us_10122
nm_0169,共城,yrdb142,gong cheng,ds_1374
nm_0170,關東,yrdb143,guandong,ds_1577
nm_0171,關中,yrdb144,guanzhong,ds_876
nm_0172,關中,yrdb144,guanzhong, ds_1580
nm_0173,關內,yrdb145,guannei,ds_1579
nm_0174,關城,yrdb146,guan cheng,us_40177
nm_0175,關山,yrdb148,guan shan,us_81112
nm_0176,關山鎮,yrdb149,guanshan zhen,us_70316
nm_0177,關山鎮,yrdb149,guanshan zhen, us_80212
nm_0178,關河隘口,yrdb150,guanheai kou,us_80664
nm_0179,關輔,yrdb151,guanfu,ds_1578
nm_0180,關門口,yrdb152,guanmen kou,us_81122
nm_0181,興仁,yrdb153,xingren,ds_1239
nm_0182,興化,yrdb154,xinghua,ds_1237
nm_0183,興化軍,yrdb155,xinghua jun,ds_1526
nm_0184,興國,yrdb156,xing guo,us_30027
nm_0185,興安府,yrdb157,xingan fu,ds_1525
nm_0186,興州,yrdb158,xing zhou,ds_1527
nm_0187,興市鎮,yrdb159,xingshi zhen,us_80175
nm_0188,興德關,yrdb160,xingde guan,us_70017
nm_0189,興德關,yrdb160,xingde guan, us_80755
nm_0190,興武營堡,yrdb161,xingwuying bao,us_80461
nm_0191,興濟,yrdb162,xingji,ds_1238
nm_0192,茲氏,yrdb163,zishi,us_10137
nm_0193,冀,yrdb164,ji,us_10054
nm_0194,冀,yrdb164,ji, us_20155
nm_0195,冀縣,yrdb166,ji xian,us_10114
nm_0196,冀寧路,yrdb167,jining lu,ds_1106
nm_0197,冀寧路,yrdb167,jining lu, ds_1198
nm_0198,冀寧路,yrdb167,jining lu, ds_1481
nm_0199,冀寧路,yrdb167,jining lu, ds_1603
nm_0200,冀州,yrdb168,ji zhou,ds_672
nm_0201,冀州,yrdb168,ji zhou, ds_801
nm_0202,冀州,yrdb168,ji zhou, ds_926
nm_0203,冀州,yrdb168,ji zhou, ds_1236
nm_0204,冀州,yrdb168,ji zhou, ds_1292
nm_0205,冀州,yrdb168,ji zhou, ds_1410
nm_0206,冀村,yrdb169,ji cun,us_80742
nm_0207,冀氏鎮,yrdb171,jishi zhen,us_80792
nm_0208,冀氏鎮,yrdb171,jishi zhen, us_70410
nm_0209,內官營堡,yrdb172,neiguanying bao,us_80506
nm_0210,內蒙古,yrdb173,neimenggu,ds_1482
nm_0211,內蒙古,yrdb173,neimenggu, ds_1629
nm_0212,內蒙古,yrdb173,neimenggu, ds_1779
nm_0213,內黃縣,yrdb174,neihuang xian,ds_1096
nm_0214,岡王馬頭,yrdb175,gangwangmatou,ds_162
nm_0215,冉店,yrdb176,randian,us_70273
nm_0216,冉店,yrdb176,randian, us_80191
nm_0217,軍渡,yrdb178,jun du,us_80723
nm_0218,冠縣,yrdb179,guan xian,ds_960
nm_0219,冠爵津,yrdb180,guanjue jin,us_30049
nm_0220,馮佐村,yrdb181,fengzuo cun,ds_152
nm_0221,馮原鎮,yrdb182,fengyuan zhen,us_80161
nm_0222,馮坡鎮,yrdb183,fengpo zhen,us_80993
nm_0223,馮家會村,yrdb184,fengjiahui cun,us_70484
nm_0224,馮家口,yrdb185,fengjia kou,ds_150
nm_0225,馮家堡,yrdb186,fengjia pu,us_70179
nm_0226,馮家莊,yrdb187,fengjia zhuang,ds_151
nm_0227,馮市鎮,yrdb188,fengshi zhen,us_80222
nm_0228,馮雷鎮,yrdb189,fenglei zhen,us_80165
nm_0229,冰溝堡,yrdb190,binggou bao,us_80354
nm_0230,冶谷堡,yrdb191,yegu bao,us_40220
nm_0231,冷泉關,yrdb192,lengquan guan,us_80772
nm_0232,冷泉關,yrdb192,lengquan guan, us_70066
nm_0233,準安府,yrdb193,zhunan fu,ds_56
nm_0234,準安府,yrdb193,zhunan fu, ds_499
nm_0235,準安府,yrdb193,zhunan fu, ds_768
nm_0236,準安府,yrdb193,zhunan fu, ds_1569
nm_0237,準格爾,yrdb194,zhungeer,ds_1316
nm_0238,涼,yrdb195,liang,ds_1443
nm_0239,淩家莊,yrdb196,lingjia zhuang,ds_349
nm_0240,幾陽亭,yrdb197,jiyang ting,us_20208
nm_0241,鳳尾鎮,yrdb198,fengwei zhen,us_80738
nm_0242,鳳州,yrdb199,feng zhou,ds_1370
nm_0243,鳳翔縣,yrdb200,fengxiang xian,ds_934
nm_0244,鳳翔府,yrdb201,fengxiang fu,ds_1369
nm_0245,鳳陽,yrdb202,fengyang,ds_39
nm_0246,鳳陽,yrdb202,fengyang, ds_935
nm_0247,出頭山,yrdb203,chutou shan,ds_1676
nm_0248,函谷關,yrdb205,hangu guan,us_20020
nm_0249,函谷關,yrdb205,hangu guan, us_20072
nm_0250,函谷關,yrdb205,hangu guan, us_20180
nm_0251,函谷關,yrdb205,hangu guan, us_30018
nm_0252,函谷關,yrdb205,hangu guan, us_30064
nm_0253,函谷關,yrdb205,hangu guan, us_10066
nm_0254,函谷關,yrdb205,hangu guan, us_40081
nm_0255,函谷關,yrdb205,hangu guan, us_70490
nm_0256,鑿臺,yrdb207,zaotai,us_20196
nm_0257,鑿臺,yrdb207,zaotai, us_10142
nm_0258,刁家庵,yrdb208,diaojiaan,ds_118
nm_0259,刁馬河,yrdb209,diaoma he,ds_1683
nm_0260,劉亭,yrdb210,liu ting,us_30093
nm_0261,劉伶,yrdb211,liuling,ds_356
nm_0262,劉獸醫口,yrdb212,liushouyi kou,ds_358
nm_0263,劉口,yrdb213,liu kou,ds_354
nm_0264,劉口,yrdb213,liu kou, ds_355
nm_0265,劉家口,yrdb214,liujia kou,ds_350
nm_0266,劉家莊,yrdb215,liujia zhuang,ds_351
nm_0267,劉家莊,yrdb215,liujia zhuang, ds_352
nm_0268,劉家莊,yrdb215,liujia zhuang, ds_353
nm_0269,劉家店,yrdb216,liujiadian,us_81149
nm_0270,劉旺莊,yrdb217,liuwang zhuang,ds_359
nm_0271,劉村寨,yrdb218,liucun zhai,us_70079
nm_0272,劉柳村,yrdb219,liuliu cun,ds_357
nm_0273,劉聚,yrdb220,liuju,us_20075
nm_0274,判官村,yrdb221,panguan cun,ds_443
nm_0275,利仁閘,yrdb222,lirenzha,ds_334
nm_0276,利國冶,yrdb223,liguoye,us_70421
nm_0277,利州,yrdb224,li zhou,ds_1442
nm_0278,利州路,yrdb225,lizhou lu,ds_1620
nm_0279,利橋堡,yrdb226,liqiao bao,us_80546
nm_0280,利民堡,yrdb227,limin bao,us_70108
nm_0281,利津,yrdb228,li jin,ds_602
nm_0282,利津,yrdb228,li jin, ds_151
nm_0283,利津,yrdb228,li jin, ds_245
nm_0284,利津,yrdb228,li jin, ds_283
nm_0285,利津,yrdb228,li jin, ds_383
nm_0286,利津,yrdb228,li jin, ds_402
nm_0287,利津,yrdb228,li jin, ds_646
nm_0288,利津,yrdb228,li jin, ds_827
nm_0289,利津,yrdb228,li jin, ds_1053
nm_0290,製虜塞,yrdb230,zhilusai,us_20107
nm_0291,剋狐寨,yrdb231,kehu zhai,us_70024
nm_0292,剋狐寨,yrdb231,kehu zhai, us_80712
nm_0293,前亭,yrdb232,qian ting,us_20214
nm_0294,前亭,yrdb232,qian ting, us_40175
nm_0295,劇陽,yrdb233,juyang,us_30109
nm_0296,副陽,yrdb234,fuyang,us_20113
nm_0297,加鬥寨,yrdb235,jiadou zhai,us_80834
nm_0298,務鄉,yrdb236,wu xiang,us_20160
nm_0299,助馬,yrdb237,zhuma,us_80640
nm_0300,助馬,yrdb237,zhuma, us_70121
nm_0301,勞山鎮,yrdb239,laoshan zhen,us_80121
nm_0302,勃海,yrdb240,bohai,ds_882
nm_0303,勃海,yrdb240,bohai, ds_1674
nm_0304,包頭村,yrdb241,baotou cun,us_80595
nm_0305,包頭村,yrdb241,baotou cun, us_81041
nm_0306,匈歸障,yrdb242,xiongguizhang,us_20108
nm_0307,化樂鎮,yrdb243,huale zhen,us_80761
nm_0308,化平川廳,yrdb244,huapingchuan ting,us_80500
nm_0309,北中城,yrdb245,beizhong cheng,us_40089
nm_0310,北京,yrdb246,beijing,ds_426
nm_0311,北京,yrdb246,beijing, ds_1092
nm_0312,北京,yrdb246,beijing, ds_1325
nm_0313,北京,yrdb246,beijing, ds_1423
nm_0314,北京,yrdb246,beijing, ds_1420
nm_0315,北京,yrdb246,beijing, ds_1616
nm_0316,北京,yrdb246,beijing, ds_1764
nm_0317,北京,yrdb246,beijing, ds_1344
nm_0318,北京,yrdb246,beijing, ds_1567
nm_0319,北蔔渡,yrdb248,beibo du,us_70431
nm_0320,北原,yrdb249,beiyuan,us_30041
nm_0321,北屈,yrdb251,beiqu,us_10092
nm_0322,北岸二套口,yrdb252,beianertao kou,ds_33
nm_0323,北岸花山,yrdb254,beianhua shan,ds_34
nm_0324,北川營,yrdb255,beichuan ying,us_80309
nm_0325,北樓口,yrdb256,beilou kou,us_80853
nm_0326,北樓口,yrdb256,beilou kou, us_70141
nm_0327,北流堡,yrdb257,beiliu bao,us_80952
nm_0328,北海,yrdb258,beihai,ds_878
nm_0329,北海,yrdb258,beihai, ds_1324
nm_0330,北海郡,yrdb259,beihai jun,ds_879
nm_0331,北清河,yrdb260,beiqing he,ds_1673
nm_0332,北相堡,yrdb261,beixiang bao,us_80933
nm_0333,北董堡,yrdb262,beidong bao,us_80983
nm_0334,北谷鎮,yrdb263,beigu zhen,us_80144
nm_0335,北賈鎮,yrdb264,beijia zhen,us_70400
nm_0336,北邵,yrdb265,beishao,ds_36
nm_0337,匙頭灣,yrdb266,chitou wan,ds_1730
nm_0338,匡口鎮,yrdb267,kuangkou zhen,us_80016
nm_0339,十一堡,yrdb268,shiyi bao,ds_526
nm_0340,十七堡,yrdb269,shiqi bao,ds_521
nm_0341,十七鋪口,yrdb270,shiqipu kou,ds_522
nm_0342,十三堡,yrdb271,shisan bao,ds_523
nm_0343,十三里橋,yrdb272,shisanli qiao,us_30073
nm_0344,十九堡,yrdb273,shijiu bao,ds_518
nm_0345,十八堡,yrdb274,shiba bao,ds_515
nm_0346,十八里屯,yrdb275,shibali tun,ds_516
nm_0347,十八里鋪,yrdb276,shibali pu,us_81121
nm_0348,十四堡,yrdb277,shisi bao,ds_524
nm_0349,十四堡,yrdb277,shisi bao, ds_525
nm_0350,十堡,yrdb278,shi bao,ds_517
nm_0351,十字川,yrdb279,shizi chuan,us_80390
nm_0352,十字鎮,yrdb280,shizi zhen,us_81166
nm_0353,十里,yrdb281,shili,us_70098
nm_0354,十里堡,yrdb282,shili pu,ds_519
nm_0355,十里堡,yrdb282,shili pu, ds_520
nm_0356,十里鋪,yrdb283,shili pu,us_80081
nm_0357,十里長灘,yrdb284,shilichang tan,us_81037
nm_0358,千乘,yrdb285,qiansheng,ds_1123
nm_0359,千畝,yrdb286,qianmu,us_30100
nm_0360,千畝,yrdb286,qianmu, us_20200
nm_0361,千戶莊堡,yrdb288,qianhuzhuang bao,us_80320
nm_0362,千秋亭,yrdb289,qianqiu ting,us_40074
nm_0363,千金堨,yrdb290,qianjine,us_30066
nm_0364,升州,yrdb291,sheng zhou,ds_1479
nm_0365,升店,yrdb292,shengdian,us_80252
nm_0366,午溝,yrdb293,wu gou,ds_1204
nm_0367,華亭,yrdb295,hua ting,us_80501
nm_0368,華亭下關,yrdb296,huatingxia guan,us_81150
nm_0369,華家嶺,yrdb297,huajia ling,us_80512
nm_0370,華山,yrdb298,hua shan,ds_249
nm_0371,華山,yrdb298,hua shan, ds_1698
nm_0372,華州,yrdb299,hua zhou,ds_991
nm_0373,華州,yrdb299,hua zhou, ds_1393
nm_0374,華池,yrdb300,huachi,us_70305
nm_0375,華池,yrdb300,huachi, us_70463
nm_0376,華池,yrdb300,huachi, us_80590
nm_0377,華谷城,yrdb302,huagu cheng,us_40292
nm_0378,華陰,yrdb303,huayin,us_40043
nm_0379,華陰,yrdb303,huayin, ds_991
nm_0380,卓家莊,yrdb305,zhuojia zhuang,ds_871
nm_0381,單縣,yrdb306,shan xian,ds_231
nm_0382,單縣,yrdb306,shan xian, ds_254
nm_0383,單縣,yrdb306,shan xian, ds_351
nm_0384,單縣,yrdb306,shan xian, ds_361
