plest_id,place_id,est_year
plest_0269,yrdb3968,1111
plest_0270,yrdb3969,1111
plest_0271,yrdb3970,1111
plest_0272,yrdb3971,1111
plest_0273,yrdb3972,1111
plest_0274,yrdb3973,1111
plest_0275,yrdb3974,1111
plest_0276,yrdb3975,1111
plest_0277,yrdb3976,1111
plest_0278,yrdb3977,1111
plest_0279,yrdb3978,1111
plest_0280,yrdb3979,1111
plest_0281,yrdb3980,1111
plest_0282,yrdb3981,1111
plest_0283,yrdb3982,1111
plest_0284,yrdb3983,1111
plest_0285,yrdb3984,1111
plest_0286,yrdb3985,1111
plest_0287,yrdb3986,1111
plest_0288,yrdb3987,1111
plest_0289,yrdb3988,1111
plest_0290,yrdb3989,1111
plest_0291,yrdb3990,1111
plest_0292,yrdb3991,1111
plest_0293,yrdb3992,1111
plest_0294,yrdb3993,1111
plest_0295,yrdb3994,1111
plest_0296,yrdb3995,1111
plest_0297,yrdb3996,1111
plest_0298,yrdb3997,1111
plest_0299,yrdb3998,1111
plest_0300,yrdb3999,1111
plest_0301,yrdb4000,1111
plest_0302,yrdb4001,1111
plest_0303,yrdb4002,1111
plest_0304,yrdb4003,1111
plest_0305,yrdb4004,1111
plest_0306,yrdb4005,1111
plest_0307,yrdb4006,1111
plest_0308,yrdb4007,1111
plest_0309,yrdb4008,1111
plest_0310,yrdb4009,1111
plest_0311,yrdb4010,1111
plest_0312,yrdb4011,1111
plest_0313,yrdb4012,1111
plest_0314,yrdb4013,1111
plest_0315,yrdb4014,1111
plest_0316,yrdb4015,1111
plest_0317,yrdb4016,1111
plest_0318,yrdb4017,1111
plest_0319,yrdb4018,612
plest_0320,yrdb4019,1111
plest_0321,yrdb4020,1111
plest_0322,yrdb4021,1111
plest_0323,yrdb4022,1111
plest_0324,yrdb4023,1111
plest_0325,yrdb4024,1111
plest_0326,yrdb4025,1111
plest_0327,yrdb4026,1111
plest_0328,yrdb4027,1111
plest_0329,yrdb4028,1111
plest_0330,yrdb4029,1111
plest_0331,yrdb4030,1189
plest_0332,yrdb4031,1189
plest_0333,yrdb4032,1189
plest_0334,yrdb4033,1189
plest_0335,yrdb4034,1189
plest_0336,yrdb4035,1189
plest_0337,yrdb4036,1189
plest_0338,yrdb4037,1189
plest_0339,yrdb4038,1189
plest_0340,yrdb4039,1189
plest_0341,yrdb4040,1189
plest_0342,yrdb4041,1189
plest_0343,yrdb4042,1189
plest_0344,yrdb4043,1189
plest_0345,yrdb4044,1189
plest_0346,yrdb4045,1189
plest_0347,yrdb4046,1189
plest_0348,yrdb4047,1189
plest_0349,yrdb4048,1189
plest_0350,yrdb4049,612
plest_0351,yrdb4050,612
plest_0352,yrdb4051,612
plest_0353,yrdb4052,612
plest_0354,yrdb4053,612
plest_0355,yrdb4054,612
plest_0356,yrdb4055,612
plest_0357,yrdb4056,612
plest_0358,yrdb4057,612
plest_0359,yrdb4058,612
plest_0360,yrdb4059,612
plest_0361,yrdb4060,612
plest_0362,yrdb4061,741
plest_0363,yrdb4062,741
plest_0364,yrdb4063,741
plest_0365,yrdb4064,741
plest_0366,yrdb4065,741
plest_0367,yrdb4066,741
plest_0368,yrdb4067,741
plest_0369,yrdb4068,741
plest_0370,yrdb4069,741
plest_0371,yrdb4070,741
plest_0372,yrdb4071,741
plest_0373,yrdb4072,741
plest_0374,yrdb4073,741
plest_0375,yrdb4074,741
plest_0376,yrdb4075,741
plest_0377,yrdb4076,741
plest_0378,yrdb4077,741
plest_0379,yrdb4078,741
plest_0380,yrdb4079,741
plest_0381,yrdb4080,741
plest_0382,yrdb4081,741
plest_0383,yrdb4082,741
plest_0384,yrdb4083,741
plest_0385,yrdb4084,741
plest_0386,yrdb4085,741
plest_0387,yrdb4086,741
plest_0388,yrdb4087,741
plest_0389,yrdb4088,612
plest_0390,yrdb4089,741
plest_0391,yrdb4090,741
plest_0392,yrdb4091,741
plest_0393,yrdb4092,741
plest_0394,yrdb4093,741
plest_0395,yrdb4094,741
plest_0396,yrdb4095,741
plest_0397,yrdb4096,741
plest_0398,yrdb4097,741
plest_0399,yrdb4098,741
plest_0400,yrdb4099,741
plest_0401,yrdb4100,741
plest_0402,yrdb4101,741
plest_0403,yrdb4102,741
plest_0404,yrdb4103,741
plest_0405,yrdb4104,741
plest_0406,yrdb4105,741
plest_0407,yrdb4106,741
plest_0408,yrdb4107,741
plest_0409,yrdb4108,1111
plest_0410,yrdb4109,612
plest_0411,yrdb4110,612
plest_0412,yrdb4111,612
plest_0413,yrdb4112,1111
plest_0414,yrdb4113,1111
plest_0415,yrdb4114,1111
plest_0416,yrdb4115,1111
plest_0417,yrdb4116,1111
plest_0418,yrdb4117,1111
plest_0419,yrdb4118,1111
plest_0420,yrdb4119,1111
plest_0421,yrdb4120,1111
plest_0422,yrdb4121,1111
plest_0423,yrdb4122,1111
plest_0424,yrdb4123,1111
plest_0425,yrdb4124,1111
plest_0426,yrdb4125,1111
plest_0427,yrdb4126,1111
plest_0428,yrdb4127,1111
plest_0429,yrdb4128,1111
plest_0430,yrdb4129,1111
plest_0431,yrdb4130,1111
plest_0432,yrdb4131,1111
plest_0433,yrdb4132,1111
plest_0434,yrdb4133,1111
plest_0435,yrdb4134,1111
plest_0436,yrdb4135,1111
plest_0437,yrdb4136,1111
plest_0438,yrdb4137,1111
plest_0439,yrdb4138,1111
plest_0440,yrdb4139,1111
plest_0441,yrdb4140,1111
plest_0442,yrdb4141,1111
plest_0443,yrdb4142,1111
plest_0444,yrdb4143,1111
plest_0445,yrdb4144,1111
plest_0446,yrdb4145,1111
plest_0447,yrdb4146,1111
plest_0448,yrdb4147,1111
plest_0449,yrdb4148,1111
plest_0450,yrdb4149,1111
plest_0451,yrdb4150,1111
plest_0452,yrdb4151,1111
plest_0453,yrdb4152,1111
plest_0454,yrdb4153,1111
plest_0455,yrdb4154,1111
plest_0456,yrdb4155,1111
plest_0457,yrdb4156,1111
plest_0458,yrdb4157,1111
plest_0459,yrdb4158,1111
plest_0460,yrdb4159,1111
plest_0461,yrdb4160,1111
plest_0462,yrdb4161,1111
plest_0463,yrdb4162,1111
plest_0464,yrdb4163,1111
plest_0465,yrdb4164,1111
plest_0466,yrdb4165,1111
plest_0467,yrdb4166,1111
plest_0468,yrdb4167,1111
plest_0469,yrdb4168,1111
plest_0470,yrdb4169,1111
plest_0471,yrdb4170,1111
plest_0472,yrdb4171,1111
plest_0473,yrdb4172,1111
plest_0474,yrdb4173,1111
plest_0475,yrdb4174,1111
plest_0476,yrdb4175,1111
plest_0477,yrdb4176,1111
plest_0478,yrdb4177,1111
plest_0479,yrdb4178,1111
plest_0480,yrdb4179,1111
plest_0481,yrdb4180,1111
plest_0482,yrdb4181,1111
plest_0483,yrdb4182,1111
plest_0484,yrdb4183,1111
plest_0485,yrdb4184,1111
plest_0486,yrdb4185,1111
plest_0487,yrdb4186,1111
plest_0488,yrdb4187,1111
plest_0489,yrdb4188,1111
plest_0490,yrdb4189,1111
plest_0491,yrdb4190,1111
plest_0492,yrdb4191,1111
plest_0493,yrdb4192,1111
plest_0494,yrdb4193,1111
plest_0495,yrdb4194,1111
plest_0496,yrdb4195,1111
plest_0497,yrdb4196,1111
plest_0498,yrdb4197,1111
plest_0499,yrdb4198,1111
plest_0500,yrdb4199,1111
plest_0501,yrdb4200,1111
plest_0502,yrdb4201,1111
plest_0503,yrdb4202,1111
plest_0504,yrdb4203,1111
plest_0505,yrdb4204,1111
plest_0506,yrdb4205,1111
plest_0507,yrdb4206,1111
plest_0508,yrdb4207,1111
plest_0509,yrdb4208,1111
plest_0510,yrdb4209,1111
plest_0511,yrdb4210,1111
plest_0512,yrdb4211,1111
plest_0513,yrdb4212,1111
plest_0514,yrdb4213,1111
plest_0515,yrdb4214,1111
plest_0516,yrdb4215,1111
plest_0517,yrdb4216,1111
plest_0518,yrdb4217,1111
plest_0519,yrdb4218,1111
plest_0520,yrdb4219,1111
plest_0521,yrdb4220,1111
plest_0522,yrdb4221,1111
plest_0523,yrdb4222,1111
plest_0524,yrdb4223,1111
plest_0525,yrdb4224,1111
plest_0526,yrdb4225,1111
plest_0527,yrdb4226,1111
plest_0528,yrdb4227,1111
plest_0529,yrdb4228,1111
plest_0530,yrdb4229,1111
plest_0531,yrdb4230,1111
plest_0532,yrdb4231,1111
