name_id,language,name,en_transliteration,yrdb_id,attestation
nm_145,zh-cn,睢水,,yrdb2253,ds_1733
nm_146,zh-cn,石莊戶(民墊),,yrdb2275,ds_535
nm_147,zh-cn,石梁塢,,yrdb2278,us_30092
nm_148,zh-cn,破狐堡,,yrdb2306,us_70118
nm_149,zh-cn,秦州關,,yrdb2365,us_80537
nm_150,zh-cn,章邱縣,,yrdb2391,ds_69
nm_151,zh-cn,章邱縣,,yrdb2391,ds_102
nm_152,zh-cn,章邱縣,,yrdb2391,ds_207
nm_153,zh-cn,章邱縣,,yrdb2391,ds_662
nm_154,zh-cn,章邱縣,,yrdb2391,ds_1295
nm_155,zh-cn,符離橋,,yrdb2399,ds_157
nm_156,zh-cn,脾沙岡,,yrdb2515,ds_448
nm_157,zh-cn,芍陂,,yrdb2525,ds_506
nm_158,zh-cn,花家莊,,yrdb2534,us_81152
nm_159,zh-cn,蘇家山(閘),,yrdb2546,ds_561
nm_160,zh-cn,蒙墻口,,yrdb2642,ds_409
nm_161,zh-cn,蒲津,,yrdb2651,ds_1722
nm_162,zh-cn,蒲陽,,yrdb2650,us_10042
nm_163,zh-cn,蛤蟆溝,,yrdb2702,ds_195
nm_164,zh-cn,街泉亭,,yrdb2705,us_20260
nm_165,zh-cn,西大通堡,,yrdb2731,us_80363
nm_166,zh-cn,西大通河堡,,yrdb2732,us_70361
nm_167,zh-cn,西橋石堤,,yrdb2746,ds_683
nm_168,zh-cn,談家莊,,yrdb2779,ds_582
nm_169,zh-cn,路,,yrdb2844,us_10033
nm_170,zh-cn,轘轅（關）,,yrdb2845,us_30017
nm_171,zh-cn,轘轅（關）,,yrdb2845,us_30067
nm_172,zh-cn,軒轅關,,yrdb2845,us_20176
nm_173,zh-cn,邵壩,,yrdb2915,ds_507
nm_174,zh-cn,秦溝口,,yrdb2916,ds_508
nm_175,zh-cn,延州,,yrdb2938,ds_1289
nm_176,zh-cn,郭家房,,yrdb2950,ds_192
nm_177,zh-cn,郿,,yrdb2966,us_10112
nm_178,zh-cn,萬歲塢,,yrdb2966,us_30042
nm_179,zh-cn,鄄城,,yrdb2972,ds_777
nm_180,zh-cn,鄜,,yrdb2975,us_20012
nm_181,zh-cn,野雞岡,,yrdb2989,ds_772
nm_182,zh-cn,荊隆口,,yrdb3015,ds_291
nm_183,zh-cn,同是,,yrdb3033,us_10039
nm_184,zh-cn,鎮川堡,,yrdb3042,us_70125
nm_185,zh-cn,鎮川堡,,yrdb3042,us_80822
nm_186,zh-cn,高子,,yrdb3068,us_10029
nm_187,zh-cn,閼與,,yrdb3095,us_20038
nm_188,zh-cn,閼與,,yrdb3095,us_10153
nm_189,zh-cn,陽方,,yrdb3108,us_70107
nm_190,zh-cn,陽狐,,yrdb3118,us_10057
nm_191,zh-cn,陰,,yrdb3125,us_10044
nm_192,zh-cn,隴關,,yrdb3145,us_20262
nm_193,zh-cn,隴城,,yrdb3147,us_30114
nm_194,zh-cn,隴城,,yrdb3147,us_40023
nm_195,zh-cn,陳橋集,,yrdb3173,ds_75
nm_196,zh-cn,陝,,yrdb3184,us_10062
nm_197,zh-cn,陝,,yrdb3184,ds_1643
nm_198,zh-cn,陜北,,yrdb3188,ds_1031
nm_199,zh-cn,陜南,,yrdb3188,ds_1149
nm_200,zh-cn,陜南,,yrdb3188,ds_1644
nm_201,zh-cn,雷家寺,,yrdb3222,ds_320
nm_202,zh-cn,頓邱,,yrdb3302,ds_922
nm_203,zh-cn,馬廠閘,,yrdb3331,ds_386
nm_204,zh-cn,馬港(口),,yrdb3353,ds_390
nm_205,zh-cn,馬家港,,yrdb3353,ds_390
nm_206,zh-cn,馬營壩,,yrdb3362,ds_401
nm_207,zh-cn,高堰,,yrdb3381,ds_166
nm_208,zh-cn,魚臺塌場,,yrdb3431,ds_789
nm_209,zh-cn,雞爪(溝),,yrdb3446,ds_268
nm_210,zh-cn,鳴沙洲,,yrdb3449,us_70203
nm_211,zh-cn,鳴沙洲,,yrdb3449,us_80426
nm_212,zh-cn,黃家壩,,yrdb3478,ds_251
nm_213,zh-cn,黃練口,,yrdb3499,ds_258
nm_214,zh-cn,黃陵崗,,yrdb3503,ds_259
nm_215,zh-cn,黑岡(堤),,yrdb3509,ds_218
nm_216,zh-cn,黑羊山,,yrdb3525,ds_222
nm_217,zh-cn,鎮羅堡,,yrdb3054,us_80417
nm_218,zh-cn,鎮羌堡,,yrdb3049,us_70124
nm_219,zh-cn,雲川（單於城）,,yrdb3692,us_70033
nm_220,zh-cn,東勝（妥妥）,,yrdb3693,us_70036
nm_221,zh-cn,交口鎮,,yrdb1,us_80111
nm_222,en,jiaokou zhen,,yrdb1,us_80111
nm_223,zh-cn,交口鎮,,yrdb1,us_80255
nm_224,en,jiaokou zhen,,yrdb1,us_80255
nm_225,zh-cn,交河,,yrdb2,ds_1019
nm_226,en,jiao he,,yrdb2,ds_1019
nm_227,zh-cn,交漳村,,yrdb3,us_70156
nm_228,en,jiaozhang cun,,yrdb3,us_70156
nm_229,zh-cn,交漳村,,yrdb3,us_80895
nm_230,en,jiaozhang cun,,yrdb3,us_80895
nm_231,zh-cn,交道鎮,,yrdb6,us_80136
nm_232,en,jiaodao zhen,,yrdb6,us_80136
nm_233,zh-cn,交道鎮,,yrdb6,us_20082
nm_234,en,jiaodao zhen,,yrdb6,us_20082
nm_235,zh-cn,交道鎮,,yrdb6,us_80171
nm_236,en,jiaodao zhen,,yrdb6,us_80171
nm_237,zh-cn,亦雜石營,,yrdb7,us_80319
nm_238,en,yizashi ying,,yrdb7,us_80319
nm_239,zh-cn,享堂,,yrdb8,us_80356
