yrdb_id,ft_id
yrdb1016,fortress
yrdb1017,not specified
yrdb1018,not specified
yrdb1019,walled settlement
yrdb1020,county
yrdb1021,fief
yrdb1022,not specified
yrdb1023,not specified
yrdb1025,not specified
yrdb1027,not specified
yrdb1028,department
yrdb1029,walled settlement
yrdb1030,department
yrdb1031,temple
yrdb1032,not specified
yrdb1033,not specified
yrdb1034,town
yrdb1035,walled settlement
yrdb1036,embarkment
yrdb1037,mountain
yrdb1038,not specified
yrdb1039,manor
yrdb1040,military post
yrdb1041,encampment
yrdb1042,commandery
yrdb1043,canal
yrdb1044,not specified
yrdb1045,canal
yrdb1046,not specified
yrdb1047,not specified
yrdb1048,route
yrdb1049,department
yrdb1050,not specified
yrdb1051,not specified
yrdb1052,county
yrdb1053,department
yrdb1054,military post
yrdb1055,walled settlement
yrdb1056,prefecture
yrdb1057,town
yrdb1058,temple
yrdb1059,not specified
yrdb1060,not specified
yrdb1061,creek
yrdb1062,town
yrdb1063,town
yrdb1064,bay
yrdb1065,estuary
yrdb1066,town
yrdb1067,encampment
yrdb1068,stockade
yrdb1069,not specified
yrdb1070,town
yrdb1071,department
yrdb1072,not specified
yrdb1073,route
yrdb1074,town
yrdb1075,walled settlement
yrdb1076,department
yrdb1077,customs house
yrdb1078,county
yrdb1079,estuary
yrdb1080,walled settlement
yrdb1081,fortress
yrdb1082,manor
yrdb1083,prefecture
yrdb1084,palace
yrdb1085,walled settlement
yrdb1086,not specified
yrdb1088,county
yrdb1089,prefecture
yrdb1090,department
yrdb1091,fortress
yrdb1092,stockade
yrdb1093,town
yrdb1094,fortress
yrdb1095,village
yrdb1096,fortress
yrdb1097,fortress
yrdb1098,town
yrdb1099,town
yrdb1100,estuary
yrdb1101,not specified
yrdb1102,estuary
yrdb1103,flat
yrdb1104,encampment
yrdb1105,creek
yrdb1106,town
yrdb1107,manor
yrdb1108,not specified
yrdb1109,not specified
yrdb1110,bay
yrdb1111,mudflat
yrdb1112,route
yrdb1113,town
yrdb1114,estuary
yrdb1115,town
yrdb1116,fortress
yrdb1117,estuary
yrdb1118,fortress
yrdb1119,fortress
yrdb1120,village
yrdb1121,town
yrdb1122,walled settlement
yrdb1123,not specified
yrdb1124,town
yrdb1125,dike
yrdb1126,not specified
yrdb1127,town
yrdb1128,not specified
yrdb1129,estuary
yrdb1130,village
yrdb1131,not specified
yrdb1132,not specified
yrdb1133,not specified
yrdb1134,walled settlement
yrdb1135,dike
yrdb1136,walled settlement
yrdb1138,not specified
yrdb1139,prefecture
yrdb1141,fortress
yrdb1143,walled settlement
yrdb1144,walled settlement
yrdb1145,not specified
yrdb1146,not specified
yrdb1147,walled settlement
yrdb1148,town
yrdb1149,mudflat
yrdb1150,not specified
yrdb1151,not specified
yrdb1152,not specified
yrdb1153,town
yrdb1154,state
yrdb1155,walled settlement
yrdb1156,estuary
yrdb1157,manor
yrdb1158,not specified
yrdb1159,bay
yrdb1160,department
yrdb1161,ditch
yrdb1162,estuary
yrdb1163,fortress
yrdb1165,town
yrdb1166,department
yrdb1167,county
yrdb1168,commandery
yrdb1169,stockade
yrdb1170,county
yrdb1171,commandery
yrdb1172,department
yrdb1173,estuary
yrdb1175,department
yrdb1176,walled settlement
yrdb1177,not specified
yrdb1181,prefecture
yrdb1183,not specified
yrdb1184,not specified
yrdb1185,not specified
yrdb1186,fortress
yrdb1187,customs house
yrdb1188,fortress
yrdb1189,estuary
yrdb1190,county
yrdb1191,fortress
yrdb1192,department
yrdb1194,fortress
yrdb1195,not specified
yrdb1196,manor
yrdb1197,county
yrdb1198,not specified
yrdb1199,not specified
yrdb1200,walled settlement
yrdb1202,neighborhood
yrdb1203,department
yrdb1204,not specified
yrdb1205,military post
yrdb1207,customs house
yrdb1208,fortress
yrdb1209,not specified
yrdb1210,mountain
yrdb1211,not specified
yrdb1212,not specified
yrdb1213,department
yrdb1214,encampment
yrdb1215,embarkment
yrdb1216,village
yrdb1217,community
yrdb1218,not specified
yrdb1219,mudflat
yrdb1220,estuary
yrdb1221,fortress
yrdb1222,fortress
yrdb1223,not specified
yrdb1224,not specified
yrdb1225,walled settlement
yrdb1226,not specified
yrdb1228,department
yrdb1230,ditch
yrdb1231,palace
yrdb1232,not specified
yrdb1233,not specified
yrdb1234,walled settlement
yrdb1235,temple
yrdb1236,stockade
yrdb1237,town
yrdb1238,fortress
yrdb1239,not specified
yrdb1241,stockade
yrdb1242,town
yrdb1243,not specified
yrdb1244,town
yrdb1245,not specified
yrdb1246,customs house
yrdb1247,walled settlement
yrdb1248,not specified
yrdb1249,customs house
yrdb1250,military post
