evtp_id,place_id,event,attestation
evtp_221,yrdb2252,ev_1751,ds_1267
evtp_222,yrdb2252,ev_1756,ds_1267
evtp_223,yrdb2252,ev_1761,ds_1267
evtp_224,yrdb2252,ev_1795,ds_1267
evtp_225,yrdb2252,ev_2022,ds_1267
evtp_226,yrdb2252,ev_2141,ds_1267
evtp_227,yrdb2252,ev_2261,ds_1267
evtp_228,yrdb2252,ev_2271,ds_1267
evtp_229,yrdb2252,ev_2275,ds_1267
evtp_230,yrdb2252,ev_2281,ds_1267
evtp_231,yrdb2252,ev_2283,ds_1267
evtp_232,yrdb2252,ev_2303,ds_1267
evtp_233,yrdb2252,ev_2312,ds_1267
evtp_234,yrdb2252,ev_2322,ds_1267
evtp_235,yrdb2252,ev_2349,ds_1267
evtp_236,yrdb2252,ev_2357,ds_1267
evtp_237,yrdb2252,ev_2433,ds_1267
evtp_238,yrdb2252,ev_2442,ds_1267
evtp_239,yrdb2252,ev_2448,ds_1267
evtp_240,yrdb2252,ev_2449,ds_1267
evtp_241,yrdb2252,ev_2476,ds_1267
evtp_242,yrdb2252,ev_2499,ds_1267
evtp_243,yrdb2252,ev_2576,ds_1267
evtp_244,yrdb2252,ev_2646,ds_1267
evtp_245,yrdb2252,ev_2651,ds_1267
evtp_246,yrdb2252,ev_2658,ds_1267
evtp_247,yrdb2252,ev_2885,ds_1267
evtp_248,yrdb2252,ev_2903,ds_1267
evtp_249,yrdb2252,ev_2907,ds_1267
evtp_250,yrdb2252,ev_2921,ds_1267
evtp_251,yrdb2252,ev_2922,ds_1267
evtp_252,yrdb2252,ev_2924,ds_1267
evtp_253,yrdb2252,ev_2930,ds_1267
evtp_254,yrdb2252,ev_2934,ds_1267
evtp_255,yrdb2252,ev_2941,ds_1267
evtp_256,yrdb2252,ev_2949,ds_1267
evtp_257,yrdb2252,ev_2961,ds_1267
evtp_258,yrdb2252,ev_3062,ds_1267
evtp_259,yrdb2252,ev_3073,ds_1267
evtp_260,yrdb2252,ev_3255,ds_1267
evtp_261,yrdb2252,ev_3263,ds_1267
evtp_262,yrdb2252,ev_3274,ds_1267
evtp_263,yrdb2252,ev_3275,ds_1267
evtp_264,yrdb2252,ev_3276,ds_1267
evtp_265,yrdb2252,ev_3279,ds_1267
evtp_266,yrdb2252,ev_3285,ds_1267
evtp_267,yrdb2252,ev_3286,ds_1267
evtp_268,yrdb2252,ev_3292,ds_1267
evtp_269,yrdb2252,ev_3296,ds_1267
evtp_270,yrdb2252,ev_1487,ds_1267
evtp_271,yrdb2252,ev_1838,ds_1267
evtp_272,yrdb2252,ev_2264,ds_1267
evtp_273,yrdb2252,ev_2617,ds_1267
evtp_274,yrdb2252,ev_2679,ds_1267
evtp_275,yrdb2252,ev_2921,ds_1267
evtp_276,yrdb41,ev_1792,ds_709
evtp_277,yrdb41,ev_1759,ds_709
evtp_278,yrdb41,ev_2219,ds_709
evtp_279,yrdb41,ev_2217,ds_709
evtp_280,yrdb41,ev_2221,ds_709
evtp_281,yrdb41,ev_2224,ds_709
evtp_282,yrdb41,ev_2225,ds_709
evtp_283,yrdb41,ev_1756,ds_709
evtp_284,yrdb904,ev_1792,ds_709
evtp_285,yrdb904,ev_1759,ds_709
evtp_286,yrdb904,ev_2219,ds_709
evtp_287,yrdb904,ev_2217,ds_709
evtp_288,yrdb904,ev_2221,ds_709
evtp_289,yrdb904,ev_2224,ds_709
evtp_290,yrdb904,ev_2225,ds_709
evtp_291,yrdb904,ev_1756,ds_709
evtp_292,yrdb929,ev_1792,ds_709
evtp_293,yrdb929,ev_1759,ds_709
evtp_294,yrdb929,ev_2219,ds_709
evtp_295,yrdb929,ev_2217,ds_709
evtp_296,yrdb929,ev_2221,ds_709
evtp_297,yrdb929,ev_2224,ds_709
evtp_298,yrdb929,ev_2225,ds_709
evtp_299,yrdb929,ev_1756,ds_709
evtp_300,yrdb43,ev_1534,ds_1138
evtp_301,yrdb43,ev_1126,ds_1138
evtp_302,yrdb43,ev_1499,ds_1138
evtp_303,yrdb1856,ev_1534,ds_1138
evtp_304,yrdb1856,ev_1126,ds_1138
evtp_305,yrdb1856,ev_1499,ds_1138
evtp_306,yrdb44,ev_966,ds_484
evtp_307,yrdb47,ev_1743,ds_1752
evtp_308,yrdb48,ev_24,ds_1753
evtp_309,yrdb53,ev_2695,ds_675
evtp_310,yrdb54,ev_3365,ds_852
evtp_311,yrdb55,ev_374,ds_1399
evtp_312,yrdb56,ev_187,ds_1702
evtp_313,yrdb57,ev_1349,ds_1572
evtp_314,yrdb57,ev_1607,ds_1572
evtp_315,yrdb1698,ev_1349,ds_1572
evtp_316,yrdb1698,ev_1607,ds_1572
evtp_317,yrdb60,ev_2604,ds_206
evtp_318,yrdb61,ev_2073,ds_205
evtp_319,yrdb62,ev_3563,ds_207
evtp_320,yrdb62,ev_3570,ds_207
evtp_321,yrdb62,ev_3566,ds_207
evtp_322,yrdb2391,ev_3563,ds_207
evtp_323,yrdb2391,ev_3570,ds_207
evtp_324,yrdb2391,ev_3566,ds_207
evtp_325,yrdb69,ev_1850,ds_231
evtp_326,yrdb306,ev_1850,ds_231
evtp_327,yrdb929,ev_1850,ds_231
evtp_328,yrdb69,ev_3455,ds_232
evtp_329,yrdb69,ev_3456,ds_232
evtp_330,yrdb69,ev_3457,ds_232
evtp_331,yrdb69,ev_3464,ds_232
evtp_332,yrdb69,ev_1847,ds_232
evtp_333,yrdb2943,ev_3455,ds_232
evtp_334,yrdb2943,ev_3456,ds_232
evtp_335,yrdb2943,ev_3457,ds_232
evtp_336,yrdb2943,ev_3464,ds_232
evtp_337,yrdb2943,ev_1847,ds_232
evtp_338,yrdb70,ev_3271,ds_233
evtp_339,yrdb3119,ev_3271,ds_233
evtp_340,yrdb71,ev_1763,ds_234
evtp_341,yrdb76,ev_791,ds_1322
evtp_342,yrdb80,ev_924,ds_1323
evtp_343,yrdb81,ev_1100,ds_1236
evtp_344,yrdb81,ev_123,ds_1236
evtp_345,yrdb81,ev_155,ds_1236
evtp_346,yrdb81,ev_1072,ds_1236
evtp_347,yrdb168,ev_1100,ds_1236
evtp_348,yrdb168,ev_123,ds_1236
evtp_349,yrdb168,ev_155,ds_1236
evtp_350,yrdb168,ev_1072,ds_1236
evtp_351,yrdb82,ev_1378,ds_1240
evtp_352,yrdb84,ev_1974,ds_1257
evtp_353,yrdb84,ev_2011,ds_1257
evtp_354,yrdb86,ev_2304,ds_449
evtp_355,yrdb90,ev_2457,ds_160
evtp_356,yrdb493,ev_2457,ds_160
evtp_357,yrdb91,ev_2890,ds_1687
evtp_358,yrdb95,ev_858,ds_1287
evtp_359,yrdb95,ev_987,ds_1287
evtp_360,yrdb95,ev_992,ds_1287
evtp_361,yrdb95,ev_985,ds_1287
evtp_362,yrdb606,ev_858,ds_1287
evtp_363,yrdb606,ev_987,ds_1287
evtp_364,yrdb606,ev_992,ds_1287
evtp_365,yrdb606,ev_985,ds_1287
evtp_366,yrdb99,ev_286,ds_1376
evtp_367,yrdb99,ev_289,ds_1376
evtp_368,yrdb99,ev_290,ds_1376
evtp_369,yrdb99,ev_907,ds_1376
evtp_370,yrdb102,ev_1205,ds_183
evtp_371,yrdb104,ev_1091,ds_1740
evtp_372,yrdb104,ev_1098,ds_1740
evtp_373,yrdb105,ev_185,ds_1255
evtp_374,yrdb105,ev_186,ds_1255
evtp_375,yrdb105,ev_271,ds_1255
evtp_376,yrdb105,ev_273,ds_1255
evtp_377,yrdb105,ev_213,ds_1538
evtp_378,yrdb105,ev_257,ds_1538
evtp_379,yrdb105,ev_260,ds_1538
evtp_380,yrdb105,ev_266,ds_1538
evtp_381,yrdb105,ev_267,ds_1538
evtp_382,yrdb105,ev_281,ds_1538
evtp_383,yrdb105,ev_286,ds_1538
evtp_384,yrdb105,ev_289,ds_1538
evtp_385,yrdb105,ev_290,ds_1538
evtp_386,yrdb105,ev_301,ds_1538
evtp_387,yrdb105,ev_341,ds_1538
evtp_388,yrdb105,ev_268,ds_1538
evtp_389,yrdb105,ev_285,ds_1538
evtp_390,yrdb105,ev_396,ds_1538
evtp_391,yrdb105,ev_457,ds_1538
evtp_392,yrdb105,ev_469,ds_1538
evtp_393,yrdb105,ev_514,ds_1538
evtp_394,yrdb105,ev_772,ds_1538
evtp_395,yrdb105,ev_1359,ds_1538
evtp_396,yrdb105,ev_1499,ds_1538
evtp_397,yrdb105,ev_1695,ds_1538
evtp_398,yrdb105,ev_1702,ds_1538
evtp_399,yrdb1855,ev_213,ds_1538
evtp_400,yrdb1855,ev_257,ds_1538
evtp_401,yrdb1855,ev_260,ds_1538
evtp_402,yrdb1855,ev_266,ds_1538
evtp_403,yrdb1855,ev_267,ds_1538
evtp_404,yrdb1855,ev_281,ds_1538
evtp_405,yrdb1855,ev_286,ds_1538
evtp_406,yrdb1855,ev_289,ds_1538
evtp_407,yrdb1855,ev_290,ds_1538
evtp_408,yrdb1855,ev_301,ds_1538
evtp_409,yrdb1855,ev_341,ds_1538
evtp_410,yrdb1855,ev_268,ds_1538
evtp_411,yrdb1855,ev_285,ds_1538
