ptatt_id,place_id,attestation_id
ptatt_395,yrdb311,ds_904
ptatt_396,yrdb312,ds_107
ptatt_397,yrdb312,ds_903
ptatt_398,yrdb313,ds_111
ptatt_399,yrdb314,ds_1092
ptatt_400,yrdb315,ds_1626
ptatt_401,yrdb316,us_81008
ptatt_402,yrdb317,us_80775
ptatt_403,yrdb317,ds_425
ptatt_404,yrdb318,ds_1454
ptatt_405,yrdb319,ds_1091
ptatt_406,yrdb320,us_80366
ptatt_407,yrdb320,us_70360
ptatt_408,yrdb322,ds_502
ptatt_409,yrdb322,ds_672
ptatt_410,yrdb322,ds_687
ptatt_411,yrdb322,ds_1089
ptatt_412,yrdb323,ds_423
ptatt_413,yrdb325,us_80323
ptatt_414,yrdb325,us_70364
ptatt_415,yrdb326,us_40144
ptatt_416,yrdb327,ds_1627
ptatt_417,yrdb328,us_70372
ptatt_418,yrdb328,us_80015
ptatt_419,yrdb330,us_80805
ptatt_420,yrdb331,us_80912
ptatt_421,yrdb332,ds_426
ptatt_422,yrdb333,ds_1090
ptatt_423,yrdb334,us_81009
ptatt_424,yrdb335,us_80117
ptatt_425,yrdb336,ds_1719
ptatt_426,yrdb337,us_80869
ptatt_427,yrdb338,ds_1093
ptatt_428,yrdb339,ds_1628
ptatt_429,yrdb340,ds_1455
ptatt_430,yrdb341,ds_1095
ptatt_431,yrdb342,ds_427
ptatt_432,yrdb343,us_80944
ptatt_433,yrdb345,ds_1094
ptatt_434,yrdb346,ds_424
ptatt_435,yrdb347,us_80964
ptatt_436,yrdb348,ds_885
ptatt_437,yrdb349,ds_1331
ptatt_438,yrdb350,ds_884
ptatt_439,yrdb351,us_20087
ptatt_440,yrdb352,ds_883
ptatt_441,yrdb353,us_81030
ptatt_442,yrdb354,ds_40
ptatt_443,yrdb355,us_40036
ptatt_444,yrdb356,ds_373
ptatt_445,yrdb357,us_80190
ptatt_446,yrdb358,ds_657
ptatt_447,yrdb359,ds_1504
ptatt_448,yrdb360,ds_1192
ptatt_449,yrdb361,ds_628
ptatt_450,yrdb361,ds_1505
ptatt_451,yrdb362,ds_1639
ptatt_452,yrdb363,ds_1191
ptatt_453,yrdb364,ds_1007
ptatt_454,yrdb365,ds_1010
ptatt_455,yrdb365,ds_1653
ptatt_456,yrdb366,ds_1037
ptatt_457,yrdb367,ds_1052
ptatt_458,yrdb368,us_40195
ptatt_459,yrdb369,ds_92
ptatt_460,yrdb369,ds_211
ptatt_461,yrdb369,ds_474
ptatt_462,yrdb369,ds_495
ptatt_463,yrdb369,ds_745
ptatt_464,yrdb369,ds_1051
ptatt_465,yrdb370,ds_1258
ptatt_466,yrdb371,us_80250
ptatt_467,yrdb372,us_80234
ptatt_468,yrdb373,us_10023
ptatt_469,yrdb374,us_20171
ptatt_470,yrdb375,us_20112
ptatt_471,yrdb376,us_70402
ptatt_472,yrdb376,us_80852
ptatt_473,yrdb378,ds_797
ptatt_474,yrdb379,ds_553
ptatt_475,yrdb380,ds_10
ptatt_476,yrdb380,ds_222
ptatt_477,yrdb380,ds_242
ptatt_478,yrdb380,ds_443
ptatt_479,yrdb380,ds_624
ptatt_480,yrdb380,ds_1289
ptatt_481,yrdb381,us_20018
ptatt_482,yrdb382,us_80276
ptatt_483,yrdb383,us_40141
ptatt_484,yrdb384,us_81091
ptatt_485,yrdb385,ds_541
ptatt_486,yrdb386,us_70334
ptatt_487,yrdb386,us_80050
ptatt_488,yrdb387,us_70255
ptatt_489,yrdb388,us_80070
ptatt_490,yrdb389,us_80771
ptatt_491,yrdb390,ds_539
ptatt_492,yrdb390,ds_540
ptatt_493,yrdb392,us_70115
ptatt_494,yrdb393,ds_542
ptatt_495,yrdb394,us_80065
ptatt_496,yrdb395,ds_274
ptatt_497,yrdb396,us_80845
ptatt_498,yrdb397,ds_176
ptatt_499,yrdb398,us_80489
ptatt_500,yrdb398,us_81036
ptatt_501,yrdb398,ds_177
ptatt_502,yrdb400,ds_955
ptatt_503,yrdb401,us_80415
ptatt_504,yrdb402,ds_178
ptatt_505,yrdb403,us_70168
ptatt_506,yrdb404,us_80759
ptatt_507,yrdb405,ds_1493
ptatt_508,yrdb406,us_80855
ptatt_509,yrdb407,us_80602
ptatt_510,yrdb407,us_81054
ptatt_511,yrdb408,us_81045
ptatt_512,yrdb409,ds_538
ptatt_513,yrdb410,us_80800
ptatt_514,yrdb411,us_80438
ptatt_515,yrdb412,ds_773
ptatt_516,yrdb413,us_20100
ptatt_517,yrdb414,ds_1486
ptatt_518,yrdb415,ds_546
ptatt_519,yrdb416,us_70006
ptatt_520,yrdb417,us_80744
ptatt_521,yrdb418,us_81161
ptatt_522,yrdb419,us_10082
ptatt_523,yrdb420,ds_456
ptatt_524,yrdb421,us_80799
ptatt_525,yrdb422,us_80138
ptatt_526,yrdb423,ds_270
ptatt_527,yrdb424,ds_1401
ptatt_528,yrdb425,ds_606
ptatt_529,yrdb426,ds_891
ptatt_530,yrdb426,ds_977
ptatt_531,yrdb426,ds_1503
ptatt_532,yrdb427,us_80429
