Location_id,Place_id,Attestation,Latitude,Longitude
loc_0373,yrdb299,ds_1393,109.7670028,34.51388889
loc_0374,yrdb300,us_70305,108.3999514,36.14285335
loc_0375,yrdb300,us_70463,108.4421389,36.21395918
loc_0376,yrdb300,us_80590,108.4853461,36.25661543
loc_0377,yrdb302,us_40292,110.867433,35.60596285
loc_0378,yrdb303,us_40043,110.040927,34.57332845
loc_0379,yrdb303,ds_991,110.0808889,34.56923333
loc_0380,yrdb305,ds_871,118.4078028,33.82250833
loc_0381,yrdb306,ds_231,116.29315,34.69205556
loc_0382,yrdb306,ds_254,115.9894944,34.59143056
loc_0383,yrdb306,ds_351,116.1333333,34.78333333
loc_0384,yrdb306,ds_361,115.8651889,34.39795556
loc_0385,yrdb306,ds_467,115.924525,34.60895278
loc_0386,yrdb306,ds_548,,
loc_0387,yrdb306,ds_562,116.2415972,34.60961389
loc_0388,yrdb306,ds_749,,
loc_0389,yrdb306,ds_904,116.0995694,34.77975556
loc_0390,yrdb306,ds_792,115.9280444,34.52577222
loc_0391,yrdb308,ds_108,117.55,34.23333333
loc_0392,yrdb309,ds_110,118.5719722,33.82704444
loc_0393,yrdb310,ds_109,117.4,34.68333333
loc_0394,yrdb311,ds_107,116.0666667,34.8
loc_0395,yrdb311,ds_904,116.0995694,34.77975556
loc_0396,yrdb312,ds_107,116.0666667,34.8
loc_0397,yrdb312,ds_903,116.0995694,34.77975556
loc_0398,yrdb313,ds_111,,
loc_0399,yrdb314,ds_1092,115.1995306,36.07261667
loc_0400,yrdb315,ds_1626,,
loc_0401,yrdb316,us_81008,112.5782857,36.58392781
loc_0402,yrdb317,us_80775,111.6785471,36.67935462
loc_0403,yrdb317,ds_425,106.3271361,38.08831389
loc_0404,yrdb318,ds_1454,118.1730556,26.64466111
loc_0405,yrdb319,ds_1091,115.3164,35.3972
loc_0406,yrdb320,us_80366,103.2865184,36.59263644
loc_0407,yrdb320,us_70360,103.342505,36.62126045
loc_0408,yrdb322,ds_502,115.3476,37.3726
loc_0409,yrdb322,ds_672,,
loc_0410,yrdb322,ds_687,115.3476,37.3726
loc_0411,yrdb322,ds_1089,115.3606722,37.36
loc_0412,yrdb323,ds_423,119.0717806,33.55461389
loc_0413,yrdb325,us_80323,101.4769933,36.46437889
loc_0414,yrdb325,us_70364,101.5108892,36.46817018
loc_0415,yrdb326,us_40144,113.1314782,39.47388834
loc_0416,yrdb327,ds_1627,116.0583861,29.45095
loc_0417,yrdb328,us_70372,111.8485831,34.98989225
loc_0418,yrdb328,us_80015,111.8397737,34.99222702
loc_0419,yrdb330,us_80805,111.301384,35.68418927
loc_0420,yrdb331,us_80912,111.6035689,35.58989848
loc_0421,yrdb332,ds_426,115.212075,36.31441389
loc_0422,yrdb333,ds_1090,114.30175,34.79814167
loc_0423,yrdb334,us_81009,112.5237561,36.52712613
loc_0424,yrdb335,us_80117,109.6357132,36.2686928
loc_0425,yrdb336,ds_1719,117.4999278,35.62788333
loc_0426,yrdb337,us_80869,112.9940739,38.40839763
loc_0427,yrdb338,ds_1093,116.7158861,38.03532222
loc_0428,yrdb339,ds_1628,,
loc_0429,yrdb340,ds_1455,117.2216694,31.82235278
