ev_t_typ_id,Event ID,EventType Chinese
642,492,evtype_2
643,492,evtype_1
644,493,evtype_1
645,494,evtype_1
646,495,evtype_1
647,496,evtype_1
648,497,evtype_1
649,498,evtype_17
650,499,evtype_1
651,500,evtype_1
652,501,evtype_1
653,502,evtype_1
654,503,evtype_1
655,503,evtype_4
656,504,evtype_1
657,505,evtype_1
658,506,evtype_2
659,507,evtype_1
660,508,evtype_2
661,509,evtype_2
662,510,evtype_1
663,511,evtype_2
664,511,evtype_1
665,512,evtype_4
666,512,evtype_1
667,513,evtype_2
668,514,evtype_2
669,515,evtype_2
670,516,evtype_2
671,516,evtype_18
672,517,evtype_2
673,517,evtype_1
674,517,evtype_18
675,518,evtype_2
676,519,evtype_1
677,520,evtype_2
678,520,evtype_4
679,521,evtype_2
680,521,evtype_4
681,522,evtype_1
682,522,evtype_4
683,523,evtype_2
684,524,evtype_2
685,525,evtype_2
686,526,evtype_2
687,527,evtype_2
688,528,evtype_2
689,529,evtype_2
690,530,evtype_2
691,531,evtype_2
692,532,evtype_2
693,533,evtype_1
694,534,evtype_1
695,534,evtype_18
696,534,evtype_19
697,535,evtype_4
698,535,evtype_1
699,536,evtype_2
700,536,evtype_18
701,537,evtype_2
702,538,evtype_4
703,538,evtype_1
704,539,evtype_2
705,539,evtype_4
706,540,evtype_17
707,540,evtype_18
708,541,evtype_1
709,542,evtype_2
710,542,evtype_1
711,542,evtype_17
712,543,evtype_8
713,543,evtype_17
714,544,evtype_16
715,544,evtype_8
716,545,evtype_2
717,546,evtype_15
718,546,evtype_16
719,547,evtype_2
720,548,evtype_4
721,548,evtype_1
722,549,evtype_4
723,549,evtype_1
724,550,evtype_17
725,551,evtype_2
726,551,evtype_18
727,552,evtype_8
728,553,evtype_8
729,554,evtype_2
730,555,evtype_2
731,555,evtype_12
732,556,evtype_2
733,557,evtype_4
734,558,evtype_2
735,559,evtype_1
736,560,evtype_2
737,561,evtype_1
738,562,evtype_1
739,563,evtype_16
740,563,evtype_17
741,564,evtype_4
742,565,evtype_17
743,566,evtype_2
744,567,evtype_4
745,568,evtype_1
746,569,evtype_1
747,569,evtype_2
748,570,evtype_1
749,571,evtype_2
750,571,evtype_1
751,572,evtype_2
752,572,evtype_1
753,573,evtype_2
754,574,evtype_1
755,575,evtype_4
756,575,evtype_1
757,576,evtype_1
758,577,evtype_2
759,578,evtype_6
760,579,evtype_2
761,579,evtype_18
762,580,evtype_1
763,581,evtype_1
764,582,evtype_1
765,583,evtype_4
766,583,evtype_1
767,584,evtype_1
768,585,evtype_2
769,585,evtype_18
770,585,evtype_16
771,586,evtype_4
772,586,evtype_1
773,587,evtype_4
774,587,evtype_1
775,588,evtype_2
776,589,evtype_2
777,590,evtype_2
778,591,evtype_4
779,592,evtype_4
780,593,evtype_1
781,594,evtype_2
782,595,evtype_1
783,596,evtype_17
784,597,evtype_1
785,598,evtype_1
786,599,evtype_2
787,599,evtype_1
788,600,evtype_2
789,601,evtype_2
790,602,evtype_1
791,603,evtype_2
792,604,evtype_1
793,605,evtype_16
794,606,evtype_16
795,607,evtype_2
796,607,evtype_1
797,608,evtype_2
798,608,evtype_18
799,609,evtype_11
800,609,evtype_16
801,610,evtype_11
802,610,evtype_16
803,611,evtype_17
804,612,evtype_1
805,613,evtype_1
806,614,evtype_1
807,615,evtype_4
808,616,evtype_2
809,617,evtype_17
810,618,evtype_2
811,619,evtype_2
812,620,evtype_2
813,621,evtype_1
814,622,evtype_1
815,623,evtype_1
816,624,evtype_2
817,625,evtype_2
818,626,evtype_2
819,627,evtype_4
820,628,evtype_4
821,629,evtype_4
822,630,evtype_4
823,631,evtype_2
824,631,evtype_4
825,632,evtype_2
826,633,evtype_2
827,634,evtype_2
828,635,evtype_1
829,636,evtype_6
830,636,evtype_17
831,637,evtype_2
832,637,evtype_1
833,638,evtype_1
834,639,evtype_1
835,640,evtype_1
836,641,evtype_2
837,642,evtype_17
838,643,evtype_2
839,644,evtype_2
840,644,evtype_18
841,645,evtype_2
842,645,evtype_18
843,646,evtype_2
844,646,evtype_1
845,647,evtype_2
846,648,evtype_1
847,649,evtype_1
848,650,evtype_7
849,651,evtype_2
850,651,evtype_1
851,651,evtype_4
852,652,evtype_2
853,653,evtype_2
854,654,evtype_1
855,655,evtype_1
856,656,evtype_1
857,656,evtype_2
858,657,evtype_4
859,658,evtype_4
860,659,evtype_1
861,660,evtype_1
862,661,evtype_1
863,662,evtype_1
864,663,evtype_16
865,664,evtype_1
866,665,evtype_1
867,666,evtype_2
868,667,evtype_2
869,668,evtype_1
870,668,evtype_18
871,669,evtype_1
872,670,evtype_1
873,671,evtype_1
874,672,evtype_1
875,673,evtype_1
876,674,evtype_2
877,674,evtype_1
878,675,evtype_2
879,676,evtype_2
880,677,evtype_1
881,678,evtype_1
882,679,evtype_1
883,680,evtype_2
884,680,evtype_1
885,681,evtype_18 
886,682,evtype_1
887,683,evtype_4
888,683,evtype_1
889,684,evtype_1
890,685,evtype_1
891,686,evtype_1
892,687,evtype_1
893,688,evtype_1
894,689,evtype_2
895,689,evtype_16
896,690,evtype_1
897,691,evtype_1
898,692,evtype_1
899,693,evtype_1 
900,694,evtype_1
901,695,evtype_1
902,696,evtype_1
903,697,evtype_4
904,698,evtype_4
905,699,evtype_1
906,700,evtype_7
907,701,evtype_1
908,702,evtype_1 
909,703,evtype_1
910,704,evtype_1
911,705,evtype_4
912,706,evtype_1
913,707,evtype_1
914,708,evtype_1
915,709,evtype_16
916,710,evtype_1
917,711,evtype_1
918,712,evtype_1
919,712,evtype_18
920,712,決
921,713,evtype_1
922,713,evtype_4
923,714,evtype_1 
924,715,evtype_2
925,716,evtype_1
926,717,evtype_2
927,717,evtype_1
928,717,evtype_4
929,718,evtype_1
930,719,evtype_1
931,720,evtype_1
932,721,evtype_1
933,722,evtype_1
934,723,evtype_2
935,724,evtype_1
936,724,evtype_4
937,725,evtype_12
938,725,evtype_2
939,726,evtype_1
940,727,evtype_4
941,728,evtype_4 
942,729,evtype_1
943,730,evtype_2
944,731,evtype_11
945,731,evtype_16
946,732,evtype_1
947,733,evtype_4
948,734,evtype_4
949,735,evtype_4
950,736,evtype_19
951,736,evtype_17
952,737,evtype_4
953,738,evtype_1
954,739,evtype_1
955,740,evtype_1
956,741,evtype_2
957,742,evtype_1
958,743,evtype_1
959,744,evtype_2
960,744,evtype_12
961,745,evtype_1
962,746,evtype_1
963,747,evtype_1
964,748,evtype_2
965,748,evtype_18
966,749,evtype_12
967,750,evtype_16
968,751,evtype_1
969,752,evtype_1
970,753,evtype_1
971,754,evtype_3
972,754,evtype_18
973,754,evtype_19
974,754,evtype_4
975,754,evtype_1
976,754,evtype_2
977,755,evtype_4
978,755,evtype_1 
979,756,evtype_1
980,757,evtype_1
981,758,evtype_2
982,758,evtype_18
983,759,evtype_2
984,760,evtype_2
985,761,evtype_1
986,762,evtype_1
987,763,evtype_2
988,763,evtype_8
989,764,evtype_1
990,765,evtype_4
991,766,evtype_1
992,766,evtype_18
993,767,evtype_1
994,768,evtype_2
995,769,evtype_1
996,770,evtype_1 
997,771,evtype_4
998,772,evtype_4
999,773,evtype_2
1000,774,evtype_2
1001,775,evtype_2
1002,776,evtype_7
1003,777,evtype_4
1004,778,evtype_4
1005,779,evtype_2
1006,780,evtype_16
1007,781,evtype_2
1008,782,evtype_2
1009,783,evtype_2
1010,784,evtype_1
1011,785,evtype_11
1012,786,evtype_1
1013,787,evtype_12
1014,788,evtype_11
1015,789,evtype_2
1016,790,evtype_1 
1017,791,evtype_1
1018,792,evtype_6
1019,793,evtype_2
1020,793,evtype_18
1021,793,evtype_17
1022,794,evtype_1
1023,795,evtype_1
1024,796,evtype_16
1025,796,evtype_17
1026,797,evtype_16
1027,798,evtype_4
1028,798,evtype_1 
1029,799,evtype_1
1030,800,evtype_2
1031,800,evtype_18
1032,801,evtype_1
1033,802,evtype_1
1034,803,evtype_1
1035,804,evtype_2
1036,804,evtype_18
1037,805,evtype_1
1038,805,evtype_2
1039,805,evtype_18
1040,806,evtype_2
1041,807,evtype_2
1042,807,evtype_18
1043,808,evtype_2
1044,808,evtype_18
1045,808,evtype_19
1046,809,evtype_11
1047,810,evtype_4
1048,811,evtype_4
1049,811,evtype_1
1050,812,evtype_11
1051,813,evtype_16
1052,814,evtype_19
1053,815,evtype_1
1054,816,evtype_1
1055,817,evtype_1
1056,817,evtype_19
1057,818,evtype_2
1058,818,evtype_16
1059,819,evtype_11
1060,820,evtype_11
1061,821,evtype_16
1062,822,evtype_16
1063,823,evtype_1
1064,823,evtype_4
1065,824,evtype_1
1066,825,evtype_4
1067,826,evtype_1
1068,827,evtype_1
1069,827,evtype_2
1070,828,evtype_2
1071,828,evtype_16
1072,829,evtype_16
1073,830,evtype_19
1074,831,evtype_1
1075,832,evtype_2
1076,833,evtype_1
1077,834,evtype_1
1078,835,evtype_2
1079,836,evtype_1
1080,837,evtype_11
1081,838,evtype_4
1082,839,evtype_1
1083,840,evtype_4
1084,841,evtype_16
1085,842,evtype_1
1086,843,evtype_12
1087,844,evtype_4
1088,845,evtype_2
1089,845,evtype_8
1090,846,evtype_1
1091,847,evtype_2
1092,848,evtype_16
1093,849,evtype_1
1094,850,evtype_1 
1095,851,evtype_6
1096,851,evtype_17
1097,852,evtype_19
1098,853,evtype_10
1099,854,evtype_4
1100,855,evtype_4
1101,856,evtype_4
1102,856,evtype_1
1103,857,evtype_2
1104,857,evtype_1
1105,857,evtype_8
1106,858,evtype_8
1107,859,evtype_2
1108,860,evtype_4
1109,860,evtype_1
1110,861,evtype_1
1111,862,evtype_2
1112,863,evtype_8
1113,863,evtype_1 
1114,864,evtype_2
1115,864,evtype_1
1116,864,evtype_18
1117,865,evtype_1
1118,866,evtype_2
1119,866,evtype_8
1120,867,evtype_4
1121,868,evtype_1 
1122,869,evtype_1 
1123,870,evtype_9
1124,871,evtype_2
1125,872,evtype_2
1126,873,evtype_16
1127,873,evtype_8
1128,874,evtype_4
1129,875,evtype_1
1130,876,evtype_16
1131,877,evtype_2
1132,878,evtype_2
1133,878,evtype_16
1134,878,evtype_11
1135,879,evtype_6
1136,879,evtype_2
1137,879,evtype_16
1138,879,evtype_11
1139,880,evtype_1
