name_id,name,ch_pinyin,yrdb_id,attestation
nm_0197,冀寧路,jining lu,yrdb167, ds_1198
nm_0198,冀寧路,jining lu,yrdb167, ds_1481
nm_0199,冀寧路,jining lu,yrdb167, ds_1603
nm_0200,冀州,ji zhou,yrdb168,ds_672
nm_0201,冀州,ji zhou,yrdb168, ds_801
nm_0202,冀州,ji zhou,yrdb168, ds_926
nm_0203,冀州,ji zhou,yrdb168, ds_1236
nm_0204,冀州,ji zhou,yrdb168, ds_1292
nm_0205,冀州,ji zhou,yrdb168, ds_1410
nm_0206,冀村,ji cun,yrdb169,us_80742
nm_0207,冀氏鎮,jishi zhen,yrdb171,us_80792
nm_0208,冀氏鎮,jishi zhen,yrdb171, us_70410
nm_0209,內官營堡,neiguanying bao,yrdb172,us_80506
nm_0210,內蒙古,neimenggu,yrdb173,ds_1482
nm_0211,內蒙古,neimenggu,yrdb173, ds_1629
nm_0212,內蒙古,neimenggu,yrdb173, ds_1779
nm_0213,內黃縣,neihuang xian,yrdb174,ds_1096
nm_0214,岡王馬頭,gangwangmatou,yrdb175,ds_162
nm_0215,冉店,randian,yrdb176,us_70273
nm_0216,冉店,randian,yrdb176, us_80191
nm_0217,軍渡,jun du,yrdb178,us_80723
nm_0218,冠縣,guan xian,yrdb179,ds_960
nm_0219,冠爵津,guanjue jin,yrdb180,us_30049
nm_0220,馮佐村,fengzuo cun,yrdb181,ds_152
nm_0221,馮原鎮,fengyuan zhen,yrdb182,us_80161
nm_0222,馮坡鎮,fengpo zhen,yrdb183,us_80993
nm_0223,馮家會村,fengjiahui cun,yrdb184,us_70484
nm_0224,馮家口,fengjia kou,yrdb185,ds_150
nm_0225,馮家堡,fengjia pu,yrdb186,us_70179
nm_0226,馮家莊,fengjia zhuang,yrdb187,ds_151
nm_0227,馮市鎮,fengshi zhen,yrdb188,us_80222
nm_0228,馮雷鎮,fenglei zhen,yrdb189,us_80165
nm_0229,冰溝堡,binggou bao,yrdb190,us_80354
nm_0230,冶谷堡,yegu bao,yrdb191,us_40220
nm_0231,冷泉關,lengquan guan,yrdb192,us_80772
nm_0232,冷泉關,lengquan guan,yrdb192, us_70066
nm_0233,準安府,zhunan fu,yrdb193,ds_56
nm_0234,準安府,zhunan fu,yrdb193, ds_499
nm_0235,準安府,zhunan fu,yrdb193, ds_768
nm_0236,準安府,zhunan fu,yrdb193, ds_1569
nm_0237,準格爾,zhungeer,yrdb194,ds_1316
nm_0238,涼,liang,yrdb195,ds_1443
nm_0239,淩家莊,lingjia zhuang,yrdb196,ds_349
nm_0240,幾陽亭,jiyang ting,yrdb197,us_20208
nm_0241,鳳尾鎮,fengwei zhen,yrdb198,us_80738
nm_0242,鳳州,feng zhou,yrdb199,ds_1370
nm_0243,鳳翔縣,fengxiang xian,yrdb200,ds_934
nm_0244,鳳翔府,fengxiang fu,yrdb201,ds_1369
nm_0245,鳳陽,fengyang,yrdb202,ds_39
nm_0246,鳳陽,fengyang,yrdb202, ds_935
nm_0247,出頭山,chutou shan,yrdb203,ds_1676
nm_0248,函谷關,hangu guan,yrdb205,us_20020
nm_0249,函谷關,hangu guan,yrdb205, us_20072
nm_0250,函谷關,hangu guan,yrdb205, us_20180
nm_0251,函谷關,hangu guan,yrdb205, us_30018
nm_0252,函谷關,hangu guan,yrdb205, us_30064
nm_0253,函谷關,hangu guan,yrdb205, us_10066
nm_0254,函谷關,hangu guan,yrdb205, us_40081
nm_0255,函谷關,hangu guan,yrdb205, us_70490
nm_0256,鑿臺,zaotai,yrdb207,us_20196
nm_0257,鑿臺,zaotai,yrdb207, us_10142
nm_0258,刁家庵,diaojiaan,yrdb208,ds_118
nm_0259,刁馬河,diaoma he,yrdb209,ds_1683
nm_0260,劉亭,liu ting,yrdb210,us_30093
nm_0261,劉伶,liuling,yrdb211,ds_356
nm_0262,劉獸醫口,liushouyi kou,yrdb212,ds_358
nm_0263,劉口,liu kou,yrdb213,ds_354
nm_0264,劉口,liu kou,yrdb213, ds_355
nm_0265,劉家口,liujia kou,yrdb214,ds_350
nm_0266,劉家莊,liujia zhuang,yrdb215,ds_351
nm_0267,劉家莊,liujia zhuang,yrdb215, ds_352
nm_0268,劉家莊,liujia zhuang,yrdb215, ds_353
nm_0269,劉家店,liujiadian,yrdb216,us_81149
nm_0270,劉旺莊,liuwang zhuang,yrdb217,ds_359
nm_0271,劉村寨,liucun zhai,yrdb218,us_70079
nm_0272,劉柳村,liuliu cun,yrdb219,ds_357
nm_0273,劉聚,liuju,yrdb220,us_20075
nm_0274,判官村,panguan cun,yrdb221,ds_443
nm_0275,利仁閘,lirenzha,yrdb222,ds_334
nm_0276,利國冶,liguoye,yrdb223,us_70421
nm_0277,利州,li zhou,yrdb224,ds_1442
nm_0278,利州路,lizhou lu,yrdb225,ds_1620
nm_0279,利橋堡,liqiao bao,yrdb226,us_80546
nm_0280,利民堡,limin bao,yrdb227,us_70108
nm_0281,利津,li jin,yrdb228,ds_602
nm_0282,利津,li jin,yrdb228, ds_151
nm_0283,利津,li jin,yrdb228, ds_245
nm_0284,利津,li jin,yrdb228, ds_283
nm_0285,利津,li jin,yrdb228, ds_383
nm_0286,利津,li jin,yrdb228, ds_402
nm_0287,利津,li jin,yrdb228, ds_646
nm_0288,利津,li jin,yrdb228, ds_827
nm_0289,利津,li jin,yrdb228, ds_1053
nm_0290,製虜塞,zhilusai,yrdb230,us_20107
nm_0291,剋狐寨,kehu zhai,yrdb231,us_70024
nm_0292,剋狐寨,kehu zhai,yrdb231, us_80712
nm_0293,前亭,qian ting,yrdb232,us_20214
nm_0294,前亭,qian ting,yrdb232, us_40175
nm_0295,劇陽,juyang,yrdb233,us_30109
nm_0296,副陽,fuyang,yrdb234,us_20113
nm_0297,加鬥寨,jiadou zhai,yrdb235,us_80834
nm_0298,務鄉,wu xiang,yrdb236,us_20160
nm_0299,助馬,zhuma,yrdb237,us_80640
nm_0300,助馬,zhuma,yrdb237, us_70121
nm_0301,勞山鎮,laoshan zhen,yrdb239,us_80121
nm_0302,勃海,bohai,yrdb240,ds_882
nm_0303,勃海,bohai,yrdb240, ds_1674
nm_0304,包頭村,baotou cun,yrdb241,us_80595
nm_0305,包頭村,baotou cun,yrdb241, us_81041
