,yrdb_id,place,event
382,yrdb105,ds_1538,ev_286
383,yrdb105,ds_1538,ev_289
384,yrdb105,ds_1538,ev_290
385,yrdb105,ds_1538,ev_301
386,yrdb105,ds_1538,ev_341
387,yrdb105,ds_1538,ev_268
388,yrdb105,ds_1538,ev_285
389,yrdb105,ds_1538,ev_396
390,yrdb105,ds_1538,ev_457
391,yrdb105,ds_1538,ev_469
392,yrdb105,ds_1538,ev_514
393,yrdb105,ds_1538,ev_772
394,yrdb105,ds_1538,ev_1359
395,yrdb105,ds_1538,ev_1499
396,yrdb105,ds_1538,ev_1695
397,yrdb105,ds_1538,ev_1702
398,yrdb1855,ds_1538,ev_213
399,yrdb1855,ds_1538,ev_257
400,yrdb1855,ds_1538,ev_260
401,yrdb1855,ds_1538,ev_266
402,yrdb1855,ds_1538,ev_267
403,yrdb1855,ds_1538,ev_281
404,yrdb1855,ds_1538,ev_286
405,yrdb1855,ds_1538,ev_289
406,yrdb1855,ds_1538,ev_290
407,yrdb1855,ds_1538,ev_301
408,yrdb1855,ds_1538,ev_341
409,yrdb1855,ds_1538,ev_268
410,yrdb1855,ds_1538,ev_285
411,yrdb1855,ds_1538,ev_396
412,yrdb1855,ds_1538,ev_457
413,yrdb1855,ds_1538,ev_469
414,yrdb1855,ds_1538,ev_514
415,yrdb1855,ds_1538,ev_772
416,yrdb1855,ds_1538,ev_1359
417,yrdb1855,ds_1538,ev_1499
418,yrdb1855,ds_1538,ev_1695
419,yrdb1855,ds_1538,ev_1702
420,yrdb111,ds_10,ev_3302
421,yrdb380,ds_10,ev_3302
422,yrdb113,ds_15,ev_1677
423,yrdb1271,ds_15,ev_1677
424,yrdb113,ds_16,ev_1251
425,yrdb113,ds_17,ev_1696
426,yrdb119,ds_12,ev_2001
427,yrdb1277,ds_12,ev_2001
428,yrdb120,ds_11,ev_1735
429,yrdb121,ds_13,ev_3599
430,yrdb122,ds_14,ev_1850
431,yrdb929,ds_14,ev_1850
432,yrdb1353,ds_14,ev_1850
433,yrdb123,ds_364,ev_2945
434,yrdb123,ds_364,ev_1545
435,yrdb123,ds_364,ev_1767
436,yrdb123,ds_364,ev_1768
437,yrdb123,ds_364,ev_1772
438,yrdb123,ds_364,ev_1791
439,yrdb123,ds_364,ev_1792
440,yrdb123,ds_364,ev_1829
441,yrdb123,ds_364,ev_1829
442,yrdb123,ds_364,ev_1834
443,yrdb123,ds_364,ev_1905
444,yrdb123,ds_364,ev_1927
445,yrdb123,ds_364,ev_1962
446,yrdb123,ds_364,ev_1965
447,yrdb123,ds_364,ev_1965
448,yrdb123,ds_364,ev_1976
449,yrdb123,ds_364,ev_2095
450,yrdb123,ds_364,ev_2217
451,yrdb123,ds_364,ev_2220
452,yrdb123,ds_364,ev_2224
453,yrdb123,ds_364,ev_2230
454,yrdb123,ds_364,ev_2338
455,yrdb123,ds_364,ev_2612
456,yrdb929,ds_364,ev_2945
457,yrdb929,ds_364,ev_1545
458,yrdb929,ds_364,ev_1767
459,yrdb929,ds_364,ev_1768
460,yrdb929,ds_364,ev_1772
461,yrdb929,ds_364,ev_1791
462,yrdb929,ds_364,ev_1792
463,yrdb929,ds_364,ev_1829
464,yrdb929,ds_364,ev_1829
465,yrdb929,ds_364,ev_1834
466,yrdb929,ds_364,ev_1905
467,yrdb929,ds_364,ev_1927
468,yrdb929,ds_364,ev_1962
469,yrdb929,ds_364,ev_1965
470,yrdb929,ds_364,ev_1965
471,yrdb929,ds_364,ev_1976
472,yrdb929,ds_364,ev_2095
473,yrdb929,ds_364,ev_2217
474,yrdb929,ds_364,ev_2220
475,yrdb929,ds_364,ev_2224
476,yrdb929,ds_364,ev_2230
477,yrdb929,ds_364,ev_2338
478,yrdb929,ds_364,ev_2612
479,yrdb1353,ds_364,ev_2945
480,yrdb1353,ds_364,ev_1545
481,yrdb1353,ds_364,ev_1767
482,yrdb1353,ds_364,ev_1768
483,yrdb1353,ds_364,ev_1772
484,yrdb1353,ds_364,ev_1791
485,yrdb1353,ds_364,ev_1792
486,yrdb1353,ds_364,ev_1829
487,yrdb1353,ds_364,ev_1829
488,yrdb1353,ds_364,ev_1834
489,yrdb1353,ds_364,ev_1905
490,yrdb1353,ds_364,ev_1927
491,yrdb1353,ds_364,ev_1962
492,yrdb1353,ds_364,ev_1965
493,yrdb1353,ds_364,ev_1965
494,yrdb1353,ds_364,ev_1976
495,yrdb1353,ds_364,ev_2095
496,yrdb1353,ds_364,ev_2217
497,yrdb1353,ds_364,ev_2220
498,yrdb1353,ds_364,ev_2224
499,yrdb1353,ds_364,ev_2230
500,yrdb1353,ds_364,ev_2338
501,yrdb1353,ds_364,ev_2612
502,yrdb123,ds_365,ev_3041
503,yrdb127,ds_1,ev_2502
504,yrdb128,ds_1076,ev_1422
505,yrdb1053,ds_1076,ev_1422
506,yrdb130,ds_366,ev_542
507,yrdb131,ds_1711,ev_124
508,yrdb133,ds_1046,ev_3155
509,yrdb133,ds_1046,ev_2220
510,yrdb133,ds_1046,ev_3285
511,yrdb133,ds_1046,ev_3711
512,yrdb133,ds_1046,ev_3695
513,yrdb133,ds_60,ev_2983
514,yrdb3175,ds_60,ev_2983
515,yrdb134,ds_1438,ev_1358
516,yrdb134,ds_1438,ev_1556
517,yrdb134,ds_1438,ev_1728
518,yrdb134,ds_1438,ev_1895
519,yrdb134,ds_1438,ev_2805
520,yrdb134,ds_1438,ev_2839
521,yrdb134,ds_1438,ev_2848
522,yrdb134,ds_1438,ev_3147
523,yrdb134,ds_1438,ev_3330
524,yrdb134,ds_1438,ev_3392
525,yrdb134,ds_1438,ev_3413
526,yrdb134,ds_1438,ev_3437
