ptty_id,place_id,ft_id
ptty_1342,yrdb1401,yft_14
ptty_1343,yrdb1402,yft_33
ptty_1344,yrdb1403,yft_33
ptty_1345,yrdb1404,yft_49
ptty_1346,yrdb1405,yft_13
ptty_1349,yrdb1408,yft_16
ptty_1350,yrdb1409,yft_33
ptty_1353,yrdb1412,yft_30
ptty_1356,yrdb1415,yft_33
ptty_1357,yrdb1416,yft_14
ptty_1358,yrdb1417,yft_33
ptty_1360,yrdb1420,yft_14
ptty_1361,yrdb1422,yft_13
ptty_1362,yrdb1423,yft_9
ptty_1363,yrdb1424,yft_17
ptty_1364,yrdb1424,yft_27
ptty_1365,yrdb1425,yft_6
ptty_1366,yrdb1426,yft_13
ptty_1367,yrdb1427,yft_10
ptty_1368,yrdb1428,yft_30
ptty_1371,yrdb1431,yft_9
ptty_1372,yrdb1432,yft_14
ptty_1375,yrdb1436,yft_9
ptty_1376,yrdb1437,yft_6
ptty_1377,yrdb1438,yft_5
ptty_1378,yrdb1439,yft_14
ptty_138,yrdb146,yft_13
ptty_1380,yrdb1442,yft_33
ptty_1381,yrdb1443,yft_14
ptty_1383,yrdb1445,yft_24
ptty_1384,yrdb1446,yft_14
ptty_1385,yrdb1447,yft_33
ptty_1386,yrdb1448,yft_13
ptty_1387,yrdb1449,yft_30
ptty_1389,yrdb1451,yft_47
ptty_139,yrdb148,yft_31
ptty_1393,yrdb1455,yft_23
ptty_1394,yrdb1456,yft_33
ptty_1395,yrdb1457,yft_30
ptty_1397,yrdb1459,yft_23
ptty_1398,yrdb1460,yft_47
ptty_1399,yrdb1461,yft_30
ptty_14,yrdb14,yft_2
ptty_140,yrdb149,yft_9
ptty_1401,yrdb1463,yft_6
ptty_1403,yrdb1465,yft_40
ptty_1404,yrdb1466,yft_11
ptty_1405,yrdb1467,yft_14
ptty_1406,yrdb1468,yft_40
ptty_1407,yrdb1469,yft_9
ptty_1408,yrdb1470,yft_13
ptty_1409,yrdb1471,yft_47
ptty_141,yrdb150,yft_33
ptty_1410,yrdb1472,yft_33
ptty_1412,yrdb1474,yft_33
ptty_1413,yrdb1475,yft_14
ptty_1414,yrdb1476,yft_6
ptty_1415,yrdb1477,yft_45
ptty_1416,yrdb1478,yft_39
ptty_1417,yrdb1479,yft_15
ptty_1418,yrdb1480,yft_1
ptty_1420,yrdb1484,yft_9
ptty_1421,yrdb1485,yft_19
ptty_1422,yrdb1486,yft_25
ptty_1423,yrdb1487,yft_9
ptty_1424,yrdb1488,yft_14
ptty_1425,yrdb1489,yft_41
ptty_1426,yrdb1491,yft_13
ptty_1427,yrdb1492,yft_24
ptty_143,yrdb152,yft_33
ptty_1430,yrdb1496,yft_13
ptty_1433,yrdb1499,yft_9
ptty_1434,yrdb1500,yft_16
ptty_1435,yrdb1501,yft_14
ptty_1436,yrdb1502,yft_16
ptty_1437,yrdb1503,yft_9
ptty_1440,yrdb1507,yft_33
ptty_1441,yrdb1508,yft_39
ptty_1443,yrdb1510,yft_40
ptty_1444,yrdb1511,yft_9
ptty_1445,yrdb1512,yft_31
ptty_1446,yrdb1513,yft_9
ptty_1447,yrdb1514,yft_44
ptty_1448,yrdb1515,yft_39
ptty_1449,yrdb1516,yft_9
ptty_1450,yrdb1517,yft_20
ptty_1451,yrdb1517,yft_29
ptty_1452,yrdb1518,yft_11
ptty_1453,yrdb1519,yft_11
ptty_1454,yrdb1520,yft_10
ptty_1456,yrdb1522,yft_6
ptty_1457,yrdb1524,yft_11
ptty_1458,yrdb1526,yft_10
ptty_146,yrdb155,yft_7
ptty_1460,yrdb1528,yft_9
ptty_1461,yrdb1529,yft_49
ptty_1462,yrdb1530,yft_9
ptty_1463,yrdb1531,yft_13
ptty_1466,yrdb1534,yft_14
ptty_1468,yrdb1536,yft_26
ptty_1469,yrdb1537,yft_30
ptty_147,yrdb155,yft_12
ptty_1470,yrdb1538,yft_31
ptty_1471,yrdb1539,yft_21
ptty_1473,yrdb1541,yft_33
ptty_1474,yrdb1542,yft_40
ptty_1476,yrdb1546,yft_13
ptty_1478,yrdb1548,yft_16
ptty_1479,yrdb1549,yft_23
ptty_148,yrdb156,yft_26
ptty_1480,yrdb1550,yft_5
ptty_1481,yrdb1551,yft_21
ptty_1482,yrdb1552,yft_10
ptty_1483,yrdb1553,yft_6
ptty_1484,yrdb1554,yft_26
ptty_1485,yrdb1555,yft_5
ptty_1487,yrdb1557,yft_14
ptty_1488,yrdb1558,yft_9
ptty_1489,yrdb1559,yft_6
ptty_149,yrdb157,yft_4
ptty_1492,yrdb1563,yft_33
ptty_1493,yrdb1564,yft_23
ptty_1494,yrdb1566,yft_33
ptty_1497,yrdb1570,yft_9
ptty_1499,yrdb1572,yft_13
ptty_15,yrdb16,yft_4
ptty_150,yrdb158,yft_5
ptty_1500,yrdb1573,yft_9
ptty_1502,yrdb1575,yft_9
ptty_1503,yrdb1576,yft_30
ptty_1505,yrdb1578,yft_9
ptty_1506,yrdb1579,yft_41
ptty_1507,yrdb1580,yft_14
ptty_1508,yrdb1581,yft_9
ptty_151,yrdb159,yft_9
ptty_1511,yrdb1584,yft_14
ptty_1512,yrdb1585,yft_14
ptty_1514,yrdb1587,yft_9
ptty_1515,yrdb1588,yft_43
ptty_1516,yrdb1589,yft_9
ptty_1517,yrdb1590,yft_9
ptty_1518,yrdb1591,yft_47
ptty_1519,yrdb1592,yft_45
ptty_152,yrdb160,yft_15
ptty_1522,yrdb1595,yft_5
ptty_1524,yrdb1597,yft_9
ptty_1525,yrdb1598,yft_13
ptty_1526,yrdb1599,yft_13
ptty_1527,yrdb1600,yft_4
ptty_1528,yrdb1601,yft_9
ptty_1529,yrdb1602,yft_17
ptty_153,yrdb161,yft_14
ptty_1530,yrdb1602,yft_27
ptty_1531,yrdb1603,yft_4
ptty_1532,yrdb1604,yft_33
ptty_1534,yrdb1606,yft_17
ptty_1535,yrdb1606,yft_27
ptty_1536,yrdb1607,yft_42
ptty_1537,yrdb1608,yft_5
ptty_1538,yrdb1609,yft_15
ptty_1539,yrdb1610,yft_13
ptty_1540,yrdb1611,yft_6
ptty_1541,yrdb1612,yft_6
ptty_1542,yrdb1614,yft_25
ptty_1544,yrdb1616,yft_14
ptty_1545,yrdb1618,yft_14
ptty_1546,yrdb1619,yft_6
ptty_1548,yrdb1621,yft_22
ptty_1549,yrdb1622,yft_7
ptty_1550,yrdb1622,yft_12
ptty_1551,yrdb1623,yft_6
ptty_1552,yrdb1625,yft_37
ptty_1553,yrdb1626,yft_30
ptty_1554,yrdb1627,yft_41
ptty_1556,yrdb1629,yft_30
ptty_1559,yrdb1632,yft_14
ptty_1560,yrdb1633,yft_16
ptty_1562,yrdb1635,yft_33
ptty_1563,yrdb1636,yft_9
ptty_1564,yrdb1637,yft_14
ptty_1566,yrdb1639,yft_9
ptty_1567,yrdb1640,yft_13
ptty_1568,yrdb1642,yft_13
ptty_1569,yrdb1643,yft_14
ptty_157,yrdb166,yft_6
ptty_1570,yrdb1644,yft_32
ptty_1571,yrdb1645,yft_13
ptty_1572,yrdb1646,yft_32
ptty_1573,yrdb1647,yft_19
ptty_1574,yrdb1648,yft_9
ptty_1575,yrdb1649,yft_8
ptty_1576,yrdb1650,yft_9
ptty_1577,yrdb1651,yft_14
ptty_1578,yrdb1652,yft_14
ptty_1579,yrdb1653,yft_15
ptty_158,yrdb167,yft_2
ptty_1581,yrdb1655,yft_6
ptty_1582,yrdb1656,yft_5
ptty_1583,yrdb1657,yft_17
ptty_1584,yrdb1657,yft_27
ptty_1585,yrdb1658,yft_14
ptty_1586,yrdb1659,yft_9
ptty_1587,yrdb1660,yft_5
ptty_1588,yrdb1661,yft_40
ptty_1589,yrdb1663,yft_14
ptty_159,yrdb168,yft_5
ptty_1590,yrdb1664,yft_47
ptty_1591,yrdb1665,yft_47
ptty_1592,yrdb1666,yft_14
ptty_1593,yrdb1667,yft_6
ptty_1594,yrdb1668,yft_6
ptty_1595,yrdb1669,yft_14
ptty_1598,yrdb1672,yft_7
ptty_1599,yrdb1672,yft_12
ptty_16,yrdb17,yft_9
ptty_160,yrdb169,yft_6
ptty_1600,yrdb1673,yft_48
ptty_1602,yrdb1675,yft_36
ptty_1603,yrdb1676,yft_7
ptty_1604,yrdb1676,yft_12
ptty_1605,yrdb1677,yft_36
ptty_1607,yrdb1680,yft_5
ptty_1608,yrdb1681,yft_2
ptty_1609,yrdb1682,yft_17
ptty_161,yrdb171,yft_9
ptty_1610,yrdb1682,yft_27
ptty_1611,yrdb1683,yft_2
ptty_1612,yrdb1684,yft_5
ptty_1614,yrdb1687,yft_3
ptty_1617,yrdb1690,yft_9
